m,n,k,time_directo,time_subrutina
200,300,200,9.80620012E-02,9.79179963E-02
250,300,200,0.123493001,0.123386003
300,300,200,0.144893005,0.145122990
350,300,200,0.172829002,0.172419012
400,300,200,0.195093006,0.195845008
450,300,200,0.223986000,0.224625006
500,300,200,0.236053005,0.234684005
50,350,200,2.44950000E-02,2.45530009E-02
100,350,200,5.56819998E-02,5.52709997E-02
150,350,200,8.33450034E-02,8.36669952E-02
200,350,200,0.113930002,0.113817997
250,350,200,0.142573997,0.142819002
300,350,200,0.166927010,0.167766988
350,350,200,0.198818997,0.199810997
400,350,200,0.228440002,0.228365988
450,350,200,0.258594990,0.258312017
500,350,200,0.273074001,0.272762001
50,400,200,2.45030001E-02,2.46040002E-02
100,400,200,5.67339994E-02,5.65680005E-02
150,400,200,8.48810002E-02,8.46819952E-02
200,400,200,0.115442000,0.116546005
250,400,200,0.145028010,0.145300999
300,400,200,0.170390993,0.169937000
350,400,200,0.202201992,0.202056989
400,400,200,0.230267003,0.230847999
450,400,200,0.262255013,0.262261003
500,400,200,0.278001010,0.279915988
50,450,200,2.17519999E-02,2.15399992E-02
100,450,200,6.06620014E-02,6.11190014E-02
150,450,200,0.102577001,9.21619982E-02
200,450,200,0.124328002,0.123574995
250,450,200,0.155663997,0.157778010
300,450,200,0.183209002,0.182951003
350,450,200,0.220819995,0.217953995
400,450,200,0.250330985,0.250024021
450,450,200,0.282489985,0.283398986
500,450,200,0.303088009,0.302763999
50,500,200,2.82240007E-02,2.80149989E-02
100,500,200,6.54200017E-02,6.51099980E-02
150,500,200,9.86979976E-02,9.82619971E-02
200,500,200,0.133683994,0.133927003
250,500,200,0.167949006,0.169088006
300,500,200,0.195963994,0.199391991
350,500,200,0.233684003,0.233695999
400,500,200,0.267949998,0.267185003
450,500,200,0.305074006,0.306090027
500,500,200,0.323159993,0.323841006
50,50,250,7.16600008E-03,7.35999970E-03
100,50,250,1.81769989E-02,1.26949996E-02
150,50,250,2.76640002E-02,2.72349995E-02
200,50,250,3.73010002E-02,3.70209999E-02
250,50,250,4.42949980E-02,3.66719998E-02
300,50,250,5.58519997E-02,5.63479997E-02
350,50,250,6.63250014E-02,6.60459995E-02
400,50,250,6.51569963E-02,6.54539987E-02
450,50,250,6.71530068E-02,6.71410039E-02
500,50,250,8.07249993E-02,7.94600025E-02
50,100,250,1.05600003E-02,1.06999995E-02
100,100,250,2.36859992E-02,2.37480011E-02
150,100,250,3.62639986E-02,3.61499973E-02
200,100,250,4.90029976E-02,4.96849976E-02
250,100,250,6.22000024E-02,6.19830005E-02
300,100,250,7.31140003E-02,7.39849955E-02
350,100,250,8.67270008E-02,8.63640010E-02
400,100,250,8.82569999E-02,8.90009999E-02
450,100,250,0.100304000,0.102604002
500,100,250,0.112599999,0.110281996
50,150,250,1.18650002E-02,1.20800007E-02
100,150,250,3.22099999E-02,3.16179991E-02
150,150,250,4.74650003E-02,3.75919975E-02
200,150,250,6.49999976E-02,6.37020022E-02
250,150,250,5.44469990E-02,6.92290068E-02
300,150,250,9.40070003E-02,9.49710011E-02
350,150,250,9.80409980E-02,0.101163000
400,150,250,0.118373998,0.117714003
450,150,250,0.114939995,0.115039006
500,150,250,0.109104000,0.146799996
50,200,250,1.60829984E-02,1.61279999E-02
100,200,250,3.65299992E-02,3.13469991E-02
150,200,250,5.52750006E-02,5.53390011E-02
200,200,250,7.45759979E-02,7.50780031E-02
250,200,250,8.14459994E-02,8.27199966E-02
300,200,250,0.111347996,0.111671999
350,200,250,0.114765994,0.113352999
400,200,250,0.140091002,0.140304998
450,200,250,0.136928007,0.136537999
500,200,250,0.175704002,0.174885005
50,250,250,1.92239992E-02,1.92510001E-02
100,250,250,4.39249985E-02,4.44549993E-02
150,250,250,5.65279983E-02,5.68519980E-02
200,250,250,8.90740007E-02,8.86869952E-02
250,250,250,9.68030021E-02,9.79999974E-02
300,250,250,0.133224994,0.133516997
350,250,250,0.135053009,0.137261003
400,250,250,0.169992998,0.170063004
450,250,250,0.163683996,0.165536001
500,250,250,0.212600991,0.212681994
50,300,250,2.59939991E-02,2.60889996E-02
100,300,250,5.86019978E-02,5.80869988E-02
150,300,250,7.63889998E-02,7.50560015E-02
200,300,250,0.118051000,0.118209004
250,300,250,0.132321998,0.129756004
300,300,250,0.175038010,0.174179003
350,300,250,0.177869007,0.178203985
400,300,250,0.226684004,0.226027995
450,300,250,0.223497003,0.225510001
500,300,250,0.283639014,0.283241987
50,350,250,2.56539993E-02,2.60079987E-02
100,350,250,6.66240007E-02,6.68120012E-02
150,350,250,8.67530033E-02,8.65480006E-02
200,350,250,0.136647001,0.136309013
250,350,250,0.147842005,0.147294000
300,350,250,0.201152995,0.201649994
350,350,250,0.207199991,0.206024989
400,350,250,0.263458997,0.262688994
450,350,250,0.255394012,0.256540000
500,350,250,0.329936981,0.329328984
50,400,250,3.08059976E-02,2.99999993E-02
100,400,250,6.79570064E-02,6.81950003E-02
150,400,250,8.59990045E-02,8.58540013E-02
200,400,250,0.138124004,0.137754008
250,400,250,0.146718994,0.147369996
300,400,250,0.205375001,0.203444004
350,400,250,0.204606995,0.203932002
400,400,250,0.267391026,0.266496003
450,400,250,0.253751993,0.253596991
500,400,250,0.331095994,0.333236992
50,450,250,3.21279988E-02,3.21820006E-02
100,450,250,7.38539994E-02,7.28639960E-02
150,450,250,9.08950046E-02,9.11680013E-02
200,450,250,0.148815006,0.149624005
250,450,250,0.157280996,0.154550999
300,450,250,0.219487011,0.220093995
350,450,250,0.214345992,0.216536000
400,450,250,0.287001997,0.287268013
450,450,250,0.265556991,0.268681020
500,450,250,0.342173994,0.356642991
50,500,250,3.46900001E-02,3.46010029E-02
100,500,250,7.84690008E-02,7.88620040E-02
150,500,250,9.84949991E-02,9.89229977E-02
200,500,250,0.159575999,0.160855994
250,500,250,0.167948991,0.169878989
300,500,250,0.236442998,0.236561000
350,500,250,0.236146986,0.235137999
400,500,250,0.311352998,0.307114989
450,500,250,0.296559006,0.294206023
500,500,250,0.382312000,0.385266989
50,50,300,9.54099931E-03,9.46899969E-03
100,50,300,1.97239984E-02,1.97780002E-02
150,50,300,2.82080006E-02,3.25600021E-02
200,50,300,4.39419970E-02,4.51570004E-02
250,50,300,5.58190010E-02,5.50879985E-02
300,50,300,4.91839983E-02,6.20119981E-02
350,50,300,6.71510026E-02,6.68800026E-02
400,50,300,7.64340013E-02,7.66979977E-02
450,50,300,8.77639949E-02,8.63370001E-02
500,50,300,8.89939964E-02,8.91590044E-02
50,100,300,1.25219999E-02,1.27290003E-02
100,100,300,2.45240014E-02,2.46450007E-02
150,100,300,4.25690003E-02,4.21110019E-02
200,100,300,5.09740002E-02,5.09929992E-02
250,100,300,7.27129951E-02,7.19029978E-02
300,100,300,5.92940003E-02,7.87860006E-02
350,100,300,8.95040035E-02,8.93500000E-02
400,100,300,0.103305005,0.103420004
450,100,300,0.115580998,8.65390003E-02
500,100,300,0.127131000,0.129188001
50,150,300,1.63579993E-02,1.63349994E-02
100,150,300,3.63200009E-02,3.10290009E-02
150,150,300,4.85100001E-02,4.74329963E-02
200,150,300,7.41010010E-02,7.44130015E-02
250,150,300,9.27309990E-02,9.61500034E-02
300,150,300,7.72569999E-02,0.110075004
350,150,300,0.120409995,0.120731004
400,150,300,0.138089001,0.137444004
450,150,300,0.159510002,0.156461000
500,150,300,0.173458993,0.173710003
50,200,300,1.90769993E-02,1.91009995E-02
100,200,300,4.24299985E-02,4.22569998E-02
150,200,300,6.32890016E-02,6.40790015E-02
200,200,300,8.61150026E-02,8.58120024E-02
250,200,300,0.107811004,0.108441003
300,200,300,9.85010043E-02,0.128098994
350,200,300,0.140102997,0.142255008
400,200,300,0.161256000,0.160599008
450,200,300,0.184156001,0.184201002
500,200,300,0.201793998,0.201471999
50,250,300,1.91290006E-02,1.91469993E-02
100,250,300,5.05670011E-02,5.04609980E-02
150,250,300,7.67669976E-02,7.68669993E-02
200,250,300,0.102865003,7.77029991E-02
250,250,300,0.131169006,9.62370038E-02
300,250,300,0.151368007,0.152575001
350,250,300,0.170907006,0.170910001
400,250,300,0.196218997,0.195355996
450,250,300,0.222696006,0.219473004
500,250,300,0.243744001,0.244615003
50,300,300,3.07009984E-02,3.05240005E-02
100,300,300,6.75650015E-02,6.71660006E-02
150,300,300,0.100589000,0.101921000
