m,n,k,time_int,time_ext,max_error
250,500,500,0.1312551498413086,2.2051334381103516E-003,0.000000000000000
500,500,500,0.1379370689392090,3.8659572601318359E-003,0.000000000000000
750,500,500,0.1362922191619873,5.5980682373046875E-003,0.000000000000000
1000,500,500,0.1365909576416016,7.0312023162841797E-003,0.000000000000000
1500,500,500,0.1393890380859375,1.0205984115600586E-002,0.000000000000000
2000,500,500,0.1418070793151855,1.3237953186035156E-002,0.000000000000000
3000,500,500,0.1460688114166260,1.9387960433959961E-002,0.000000000000000
5000,500,500,0.1572210788726807,3.1385183334350586E-002,0.000000000000000
100,750,500,0.1332199573516846,1.4607906341552734E-003,0.000000000000000
250,750,500,0.1369600296020508,2.7019977569580078E-003,0.000000000000000
500,750,500,0.1370010375976563,4.7090053558349609E-003,0.000000000000000
750,750,500,0.1364519596099854,6.2589645385742188E-003,0.000000000000000
1000,750,500,0.1380300521850586,8.5871219635009766E-003,0.000000000000000
1500,750,500,0.1418738365173340,1.2280941009521484E-002,0.000000000000000
2000,750,500,0.1398451328277588,1.5542984008789063E-002,0.000000000000000
3000,750,500,0.1503129005432129,2.3313045501708984E-002,0.000000000000000
5000,750,500,0.1650278568267822,3.8210868835449219E-002,0.000000000000000
100,1000,500,0.1282751560211182,1.8579959869384766E-003,0.000000000000000
250,1000,500,0.1320648193359375,3.1850337982177734E-003,0.000000000000000
500,1000,500,0.1374609470367432,5.4471492767333984E-003,0.000000000000000
750,1000,500,0.1353340148925781,7.5709819793701172E-003,0.000000000000000
1000,1000,500,0.1388409137725830,9.9117755889892578E-003,0.000000000000000
1500,1000,500,0.1429090499877930,1.4381885528564453E-002,0.000000000000000
2000,1000,500,0.1436290740966797,1.8558979034423828E-002,0.000000000000000
3000,1000,500,0.1525700092315674,2.6894807815551758E-002,0.000000000000000
5000,1000,500,0.1695439815521240,3.7559032440185547E-002,0.000000000000000
100,1500,500,0.1204938888549805,2.4089813232421875E-003,0.000000000000000
250,1500,500,0.1337699890136719,4.0998458862304688E-003,0.000000000000000
500,1500,500,0.1330471038818359,6.6258907318115234E-003,0.000000000000000
750,1500,500,0.1370649337768555,9.5829963684082031E-003,0.000000000000000
1000,1500,500,0.1390171051025391,1.2293815612792969E-002,0.000000000000000
1500,1500,500,0.1441681385040283,1.7432928085327148E-002,0.000000000000000
2000,1500,500,0.1353039741516113,2.0884037017822266E-002,0.000000000000000
3000,1500,500,0.1645629405975342,3.4428119659423828E-002,0.000000000000000
5000,1500,500,0.1845660209655762,5.6127071380615234E-002,0.000000000000000
100,2000,500,0.1346540451049805,3.7522315979003906E-003,0.000000000000000
250,2000,500,0.1110098361968994,4.5280456542968750E-003,0.000000000000000
500,2000,500,0.1112461090087891,7.8079700469970703E-003,0.000000000000000
750,2000,500,0.1109490394592285,1.1162996292114258E-002,0.000000000000000
