m,n,k,time_ext,time_int,max_error
5000,1000,1000,0.2159700393676758,8.4097146987915039E-002,0.000000000000000
100,1500,1000,0.1329188346862793,4.6429634094238281E-003,0.000000000000000
250,1500,1000,0.1366298198699951,7.3688030242919922E-003,0.000000000000000
500,1500,1000,0.1439650058746338,1.1206865310668945E-002,0.000000000000000
750,1500,1000,0.1441299915313721,1.5901088714599609E-002,0.000000000000000
1000,1500,1000,0.1546261310577393,2.1522998809814453E-002,0.000000000000000
1500,1500,1000,0.1610398292541504,3.0593156814575195E-002,0.000000000000000
2000,1500,1000,0.1761598587036133,4.0621995925903320E-002,0.000000000000000
3000,1500,1000,0.1929118633270264,6.5311908721923828E-002,0.000000000000000
5000,1500,1000,0.2402970790863037,0.1141500473022461,0.000000000000000
100,2000,1000,0.1350340843200684,6.9940090179443359E-003,0.000000000000000
250,2000,1000,0.1375319957733154,1.0797977447509766E-002,0.000000000000000
500,2000,1000,0.1441328525543213,1.8226146697998047E-002,0.000000000000000
750,2000,1000,0.1567051410675049,2.6278018951416016E-002,0.000000000000000
1000,2000,1000,0.1617491245269775,3.2871961593627930E-002,0.000000000000000
1500,2000,1000,0.1735861301422119,4.7132015228271484E-002,0.000000000000000
2000,2000,1000,0.1928248405456543,6.3377141952514648E-002,0.000000000000000
