m,n,k,tiempo_s
256,2973696,256,7.032834768295288
256,2981888,256,7.074460029602051
256,2990080,256,6.947410106658936
256,2998272,256,6.837825059890747
256,3006464,256,7.053499221801758
256,3014656,256,7.089072942733765
256,3022848,256,7.112669944763184
256,3031040,256,7.092514991760254
256,3039232,256,7.072515964508057
256,3047424,256,7.161971807479858
256,3055616,256,7.126852989196777
256,3063808,256,7.228953123092651
256,3072000,256,7.223343849182129
256,3080192,256,6.827591180801392
256,3088384,256,6.983772039413452
256,3096576,256,7.186564922332764
256,3104768,256,7.266458988189697
256,3112960,256,7.318139076232910
256,3121152,256,7.441509962081909
256,3129344,256,7.274948835372925
256,3137536,256,7.382086992263794
256,3145728,256,7.318614006042480
256,3153920,256,7.425734996795654
256,3162112,256,7.450557947158813
256,3170304,256,7.547312974929810
256,3178496,256,7.567078113555908
256,3186688,256,11.11819195747375
256,3194880,256,7.642546892166138
256,3203072,256,8.779490947723389
256,3211264,256,7.447019100189209
256,3219456,256,7.557397842407227
256,3227648,256,8.905982971191406
256,3235840,256,7.595587968826294
256,3244032,256,7.563808917999268
256,3252224,256,7.683086872100830
256,3260416,256,7.666672945022583
256,3268608,256,7.687490940093994
256,3276800,256,7.689490079879761
256,3284992,256,7.732241153717041
256,3293184,256,7.782539844512939
256,3301376,256,7.751750946044922
256,3309568,256,7.915482997894287
256,3317760,256,7.783751010894775
256,3325952,256,7.641314029693604
256,3334144,256,7.652853965759277
256,3342336,256,7.850748062133789
256,3350528,256,7.842183828353882
256,3358720,256,7.954963922500610
256,3366912,256,8.022886037826538
256,3375104,256,7.889909982681274
256,3383296,256,8.161340951919556
256,3391488,256,8.147392034530640
256,3399680,256,7.623478174209595
256,3407872,256,8.025578022003174
256,3416064,256,8.086508035659790
256,3424256,256,8.017306804656982
256,3432448,256,8.027979135513306
256,3440640,256,8.132914066314697
256,3448832,256,7.990005970001221
256,3457024,256,8.444586038589478
256,3465216,256,8.191195964813232
256,3473408,256,8.199791193008423
256,3481600,256,8.292810916900635
256,3489792,256,8.124964952468872
256,3497984,256,7.964031934738159
256,3506176,256,11.34780597686768
256,3514368,256,8.091153144836426
256,3522560,256,7.858121871948242
256,3530752,256,8.338834047317505
256,3538944,256,8.306305885314941
256,3547136,256,8.319889068603516
256,3555328,256,8.287518024444580
256,3563520,256,8.345414876937866
256,3571712,256,8.363477945327759
256,3579904,256,9.693376064300537
256,3588096,256,8.538002014160156
256,3596288,256,8.748658180236816
256,3604480,256,8.395097970962524
256,3612672,256,8.315351009368896
256,3620864,256,8.716864109039307
256,3629056,256,8.635262966156006
256,3637248,256,8.577307939529419
256,3645440,256,8.222368001937866
