m,n,k,time_collapse,time_nocollapse,error_max
250,5000,250,0.1314799785614014,0.1358039379119873,0.000000000000000
500,5000,250,0.1337010860443115,0.1404728889465332,0.000000000000000
750,5000,250,0.1385369300842285,0.1435890197753906,0.000000000000000
1000,5000,250,0.1472809314727783,0.1453359127044678,0.000000000000000
1500,5000,250,0.1507680416107178,0.1521289348602295,0.000000000000000
2000,5000,250,0.1572799682617188,0.1536309719085693,0.000000000000000
3000,5000,250,0.1760990619659424,0.1722187995910645,0.000000000000000
5000,5000,250,0.2148270606994629,0.1890339851379395,0.000000000000000
100,100,500,0.1265561580657959,3.7848949432373047E-003,0.000000000000000
250,100,500,0.1260068416595459,4.8019886016845703E-003,0.000000000000000
500,100,500,0.1378529071807861,5.9170722961425781E-003,0.000000000000000
750,100,500,0.1296050548553467,6.3490867614746094E-003,0.000000000000000
1000,100,500,0.1250309944152832,7.4758529663085938E-003,0.000000000000000
1500,100,500,0.1324548721313477,9.5829963684082031E-003,0.000000000000000
2000,100,500,0.1360590457916260,1.2111186981201172E-002,0.000000000000000
3000,100,500,0.1490299701690674,1.5949010848999023E-002,0.000000000000000
5000,100,500,0.1544170379638672,2.4473190307617188E-002,0.000000000000000
100,250,500,0.1355412006378174,9.4988346099853516E-003,0.000000000000000
250,250,500,0.1296360492706299,1.0424137115478516E-002,0.000000000000000
500,250,500,0.1290078163146973,1.1721134185791016E-002,0.000000000000000
750,250,500,0.1316378116607666,1.2881994247436523E-002,0.000000000000000
1000,250,500,0.1323559284210205,1.4003992080688477E-002,0.000000000000000
1500,250,500,0.1483340263366699,1.7646074295043945E-002,0.000000000000000
2000,250,500,0.1375429630279541,2.0780086517333984E-002,0.000000000000000
3000,250,500,0.1521370410919189,2.5676965713500977E-002,0.000000000000000
5000,250,500,0.1515769958496094,3.6879777908325195E-002,0.000000000000000
100,500,500,0.1388349533081055,1.8326044082641602E-002,0.000000000000000
250,500,500,0.1304550170898438,2.0365953445434570E-002,0.000000000000000
500,500,500,0.1304211616516113,2.1007061004638672E-002,0.000000000000000
750,500,500,0.1438860893249512,2.5668144226074219E-002,0.000000000000000
1000,500,500,0.1409180164337158,3.1465053558349609E-002,0.000000000000000
1500,500,500,0.1379151344299316,3.3766031265258789E-002,0.000000000000000
2000,500,500,0.1389179229736328,3.8386106491088867E-002,0.000000000000000
3000,500,500,0.1467661857604980,4.3683052062988281E-002,0.000000000000000
5000,500,500,0.1580469608306885,5.3748130798339844E-002,0.000000000000000
100,750,500,0.1292421817779541,2.7763843536376953E-002,0.000000000000000
250,750,500,0.1369118690490723,3.5302877426147461E-002,0.000000000000000
500,750,500,0.1353969573974609,3.8822889328002930E-002,0.000000000000000
750,750,500,0.1352460384368896,4.1669130325317383E-002,0.000000000000000
1000,750,500,0.1344320774078369,4.2913913726806641E-002,0.000000000000000
1500,750,500,0.1428501605987549,5.1843881607055664E-002,0.000000000000000
2000,750,500,0.1445350646972656,5.4291963577270508E-002,0.000000000000000
3000,750,500,0.1524100303649902,6.0683965682983398E-002,0.000000000000000
5000,750,500,0.1663599014282227,7.1337938308715820E-002,0.000000000000000
100,1000,500,0.1464040279388428,4.4353008270263672E-002,0.000000000000000
250,1000,500,0.1354660987854004,5.1959991455078125E-002,0.000000000000000
500,1000,500,0.1462540626525879,5.8171987533569336E-002,0.000000000000000
750,1000,500,0.1394279003143311,5.9419870376586914E-002,0.000000000000000
1000,1000,500,0.1573398113250732,6.4200878143310547E-002,0.000000000000000
1500,1000,500,0.1451551914215088,6.7878007888793945E-002,0.000000000000000
2000,1000,500,0.1483209133148193,7.0176124572753906E-002,0.000000000000000
3000,1000,500,0.1600201129913330,7.7190876007080078E-002,0.000000000000000
5000,1000,500,0.1732928752899170,8.9174032211303711E-002,0.000000000000000
100,1500,500,0.1307818889617920,7.7771186828613281E-002,0.000000000000000
250,1500,500,0.1262810230255127,7.9022884368896484E-002,0.000000000000000
500,1500,500,0.1321530342102051,8.0077886581420898E-002,0.000000000000000
750,1500,500,0.1300930976867676,8.6954116821289063E-002,0.000000000000000
1000,1500,500,0.1357250213623047,8.7517023086547852E-002,0.000000000000000
1500,1500,500,0.1475770473480225,9.2335939407348633E-002,0.000000000000000
2000,1500,500,0.1463310718536377,9.4215869903564453E-002,0.000000000000000
3000,1500,500,0.1586298942565918,0.1024439334869385,0.000000000000000
5000,1500,500,0.1931860446929932,0.1214799880981445,0.000000000000000
100,2000,500,0.1277170181274414,0.1031789779663086,0.000000000000000
250,2000,500,0.1322438716888428,0.1045210361480713,0.000000000000000
500,2000,500,0.1468482017517090,0.1128039360046387,0.000000000000000
750,2000,500,0.1399669647216797,0.1143810749053955,0.000000000000000
1000,2000,500,0.1504960060119629,0.1156680583953857,0.000000000000000
1500,2000,500,0.1628279685974121,0.1225869655609131,0.000000000000000
2000,2000,500,0.1595439910888672,0.1240029335021973,0.000000000000000
3000,2000,500,0.1713018417358398,0.1334891319274902,0.000000000000000
5000,2000,500,0.2093429565429688,0.1500620841979980,0.000000000000000
100,3000,500,0.1271789073944092,0.1539809703826904,0.000000000000000
250,3000,500,0.1396429538726807,0.1561999320983887,0.000000000000000
500,3000,500,0.1352818012237549,0.1675050258636475,0.000000000000000
750,3000,500,0.1417171955108643,0.1705191135406494,0.000000000000000
1000,3000,500,0.1454730033874512,0.1720819473266602,0.000000000000000
1500,3000,500,0.1649940013885498,0.1790950298309326,0.000000000000000
2000,3000,500,0.1726138591766357,0.1784629821777344,0.000000000000000
3000,3000,500,0.1815898418426514,0.1943008899688721,0.000000000000000
5000,3000,500,0.2291669845581055,0.2181270122528076,0.000000000000000
100,5000,500,0.1373949050903320,0.2550997734069824,0.000000000000000
250,5000,500,0.1416490077972412,0.2706680297851563,0.000000000000000
500,5000,500,0.1240508556365967,0.2736120223999023,0.000000000000000
750,5000,500,0.1361210346221924,0.2759039402008057,0.000000000000000
1000,5000,500,0.1491551399230957,0.2792780399322510,0.000000000000000
1500,5000,500,0.1859920024871826,0.2926769256591797,0.000000000000000
2000,5000,500,0.2055940628051758,0.2879810333251953,0.000000000000000
3000,5000,500,0.2588438987731934,0.3116970062255859,0.000000000000000
5000,5000,500,0.3064122200012207,0.3314249515533447,0.000000000000000
100,100,750,0.1244540214538574,5.4738521575927734E-003,0.000000000000000
250,100,750,0.1289331912994385,6.5290927886962891E-003,0.000000000000000
500,100,750,0.1351828575134277,8.0370903015136719E-003,0.000000000000000
750,100,750,0.1333279609680176,9.8280906677246094E-003,0.000000000000000
1000,100,750,0.1300880908966064,1.0176181793212891E-002,0.000000000000000
1500,100,750,0.1329300403594971,1.5501022338867188E-002,0.000000000000000
2000,100,750,0.1379308700561523,1.9175052642822266E-002,0.000000000000000
3000,100,750,0.1507401466369629,2.1084070205688477E-002,0.000000000000000
5000,100,750,0.1371328830718994,2.9825925827026367E-002,0.000000000000000
100,250,750,0.1306350231170654,1.4091014862060547E-002,0.000000000000000
250,250,750,0.1184759140014648,1.4819145202636719E-002,0.000000000000000
500,250,750,0.1243410110473633,1.7931938171386719E-002,0.000000000000000
750,250,750,0.1278500556945801,1.9746065139770508E-002,0.000000000000000
1000,250,750,0.1396081447601318,2.2776126861572266E-002,0.000000000000000
1500,250,750,0.1497869491577148,2.7075052261352539E-002,0.000000000000000
2000,250,750,0.1320600509643555,2.7772903442382813E-002,0.000000000000000
3000,250,750,0.1617100238800049,3.7775039672851563E-002,0.000000000000000
5000,250,750,0.1664798259735107,5.4203987121582031E-002,0.000000000000000
100,500,750,0.1376090049743652,2.9165029525756836E-002,0.000000000000000
250,500,750,0.1232020854949951,3.2738924026489258E-002,0.000000000000000
500,500,750,0.1364550590515137,3.7738800048828125E-002,0.000000000000000
750,500,750,0.1167659759521484,4.2308092117309570E-002,0.000000000000000
1000,500,750,0.1198000907897949,4.5671939849853516E-002,0.000000000000000
1500,500,750,0.1391959190368652,5.0268888473510742E-002,0.000000000000000
2000,500,750,0.1490221023559570,5.7281970977783203E-002,0.000000000000000
3000,500,750,0.1544330120086670,6.4664840698242188E-002,0.000000000000000
5000,500,750,0.1855080127716064,8.0888032913208008E-002,0.000000000000000
100,750,750,0.1352701187133789,4.5454978942871094E-002,0.000000000000000
250,750,750,0.1238389015197754,5.4253101348876953E-002,0.000000000000000
500,750,750,0.1281189918518066,6.1526060104370117E-002,0.000000000000000
750,750,750,0.1400370597839355,6.2631130218505859E-002,0.000000000000000
1000,750,750,0.1406850814819336,6.4326047897338867E-002,0.000000000000000
1500,750,750,0.1454379558563232,7.4085950851440430E-002,0.000000000000000
2000,750,750,0.1372020244598389,7.6066970825195313E-002,0.000000000000000
3000,750,750,0.1545038223266602,8.5278034210205078E-002,0.000000000000000
5000,750,750,0.1871278285980225,0.1013751029968262,0.000000000000000
100,1000,750,0.1286699771881104,7.8072071075439453E-002,0.000000000000000
250,1000,750,0.1301300525665283,8.1550121307373047E-002,0.000000000000000
500,1000,750,0.1218140125274658,7.8966856002807617E-002,0.000000000000000
750,1000,750,0.1320419311523438,8.0620050430297852E-002,0.000000000000000
1000,1000,750,0.1477668285369873,8.8538885116577148E-002,0.000000000000000
1500,1000,750,0.1408240795135498,9.3528032302856445E-002,0.000000000000000
2000,1000,750,0.1478071212768555,9.6283912658691406E-002,0.000000000000000
3000,1000,750,0.1573979854583740,0.1065101623535156,0.000000000000000
5000,1000,750,0.1910469532012939,0.1241080760955811,0.000000000000000
100,1500,750,0.1287980079650879,0.1151280403137207,0.000000000000000
250,1500,750,0.1387419700622559,0.1167781352996826,0.000000000000000
500,1500,750,0.1336460113525391,0.1185710430145264,0.000000000000000
750,1500,750,0.1340260505676270,0.1279468536376953,0.000000000000000
1000,1500,750,0.1472988128662109,0.1292860507965088,0.000000000000000
1500,1500,750,0.1452310085296631,0.1372790336608887,0.000000000000000
2000,1500,750,0.1509780883789063,0.1405980587005615,0.000000000000000
3000,1500,750,0.1742470264434814,0.1481220722198486,0.000000000000000
5000,1500,750,0.2102751731872559,0.1728730201721191,0.000000000000000
100,2000,750,0.1377820968627930,0.1526880264282227,0.000000000000000
250,2000,750,0.1335000991821289,0.1554460525512695,0.000000000000000
500,2000,750,0.1354401111602783,0.1664631366729736,0.000000000000000
750,2000,750,0.1519880294799805,0.1697199344635010,0.000000000000000
1000,2000,750,0.1451530456542969,0.1711509227752686,0.000000000000000
1500,2000,750,0.1563818454742432,0.1804890632629395,0.000000000000000
2000,2000,750,0.1587619781494141,0.1786391735076904,0.000000000000000
3000,2000,750,0.1896491050720215,0.1914908885955811,0.000000000000000
5000,2000,750,0.2403340339660645,0.2161190509796143,0.000000000000000
100,3000,750,0.1337788105010986,0.2293560504913330,0.000000000000000
250,3000,750,0.1353240013122559,0.2319438457489014,0.000000000000000
500,3000,750,0.1370379924774170,0.2489991188049316,0.000000000000000
750,3000,750,0.1602640151977539,0.2543559074401855,0.000000000000000
1000,3000,750,0.1571199893951416,0.2532339096069336,0.000000000000000
1500,3000,750,0.1819989681243896,0.2596461772918701,0.000000000000000
2000,3000,750,0.2071101665496826,0.2688179016113281,0.000000000000000
3000,3000,750,0.1868250370025635,0.2664079666137695,0.000000000000000
5000,3000,750,0.2456040382385254,0.2870340347290039,0.000000000000000
100,5000,750,0.1141560077667236,0.3796260356903076,0.000000000000000
250,5000,750,0.1088049411773682,0.4030489921569824,0.000000000000000
500,5000,750,0.1548528671264648,0.4138150215148926,0.000000000000000
750,5000,750,0.1601741313934326,0.4166340827941895,0.000000000000000
1000,5000,750,0.1633989810943604,0.4144079685211182,0.000000000000000
1500,5000,750,0.2272970676422119,0.4363400936126709,0.000000000000000
2000,5000,750,0.2929091453552246,0.4370419979095459,0.000000000000000
3000,5000,750,0.3464219570159912,0.4426629543304443,0.000000000000000
5000,5000,750,0.4673459529876709,0.4635829925537109,0.000000000000000
100,100,1000,0.1067810058593750,6.9799423217773438E-003,0.000000000000000
250,100,1000,0.1167299747467041,7.9529285430908203E-003,0.000000000000000
500,100,1000,0.1106250286102295,9.3419551849365234E-003,0.000000000000000
750,100,1000,0.1056251525878906,1.0152101516723633E-002,0.000000000000000
1000,100,1000,0.1126120090484619,1.3474941253662109E-002,0.000000000000000
1500,100,1000,0.1042449474334717,1.5280008316040039E-002,0.000000000000000
2000,100,1000,0.1185779571533203,2.0258903503417969E-002,0.000000000000000
3000,100,1000,0.1243450641632080,2.6108026504516602E-002,0.000000000000000
5000,100,1000,0.1407999992370605,3.6984920501708984E-002,0.000000000000000
100,250,1000,0.1122670173645020,1.8306970596313477E-002,0.000000000000000
250,250,1000,0.1121349334716797,2.0601034164428711E-002,0.000000000000000
500,250,1000,0.1243810653686523,2.2524118423461914E-002,0.000000000000000
750,250,1000,0.1150639057159424,2.5824069976806641E-002,0.000000000000000
1000,250,1000,0.1175818443298340,2.8928041458129883E-002,0.000000000000000
1500,250,1000,0.1211771965026855,3.2638072967529297E-002,0.000000000000000
2000,250,1000,0.1232249736785889,3.5897970199584961E-002,0.000000000000000
3000,250,1000,0.1321392059326172,4.1530847549438477E-002,0.000000000000000
5000,250,1000,0.1440129280090332,5.8053970336914063E-002,0.000000000000000
100,500,1000,0.1102690696716309,4.2994022369384766E-002,0.000000000000000
250,500,1000,0.1128938198089600,4.3445110321044922E-002,0.000000000000000
500,500,1000,0.1190929412841797,5.5087089538574219E-002,0.000000000000000
750,500,1000,0.1194241046905518,5.8932065963745117E-002,0.000000000000000
1000,500,1000,0.1298179626464844,6.0352087020874023E-002,0.000000000000000
1500,500,1000,0.1123549938201904,5.9705972671508789E-002,0.000000000000000
2000,500,1000,0.1366298198699951,7.0677995681762695E-002,0.000000000000000
3000,500,1000,0.1424720287322998,7.9716920852661133E-002,0.000000000000000
5000,500,1000,0.1663041114807129,9.7217082977294922E-002,0.000000000000000
100,750,1000,0.1186490058898926,7.3264122009277344E-002,0.000000000000000
250,750,1000,0.1215281486511230,7.5727939605712891E-002,0.000000000000000
500,750,1000,0.1158490180969238,7.7337026596069336E-002,0.000000000000000
750,750,1000,0.1339080333709717,7.8583955764770508E-002,0.000000000000000
1000,750,1000,0.1473598480224609,7.9732179641723633E-002,0.000000000000000
1500,750,1000,0.1448819637298584,9.5407962799072266E-002,0.000000000000000
2000,750,1000,0.1470289230346680,9.9478960037231445E-002,0.000000000000000
3000,750,1000,0.1640131473541260,0.1099720001220703,0.000000000000000
5000,750,1000,0.1926081180572510,0.1326849460601807,0.000000000000000
100,1000,1000,0.1234951019287109,0.1034150123596191,0.000000000000000
250,1000,1000,0.1410908699035645,0.1048989295959473,0.000000000000000
500,1000,1000,0.1358878612518311,0.1076838970184326,0.000000000000000
750,1000,1000,0.1432580947875977,0.1078908443450928,0.000000000000000
1000,1000,1000,0.1475090980529785,0.1190350055694580,0.000000000000000
1500,1000,1000,0.1525330543518066,0.1249170303344727,0.000000000000000
2000,1000,1000,0.1554841995239258,0.1294820308685303,0.000000000000000
3000,1000,1000,0.1788020133972168,0.1425468921661377,0.000000000000000
5000,1000,1000,0.1911249160766602,0.1531660556793213,0.000000000000000
100,1500,1000,0.1306340694427490,0.1547977924346924,0.000000000000000
250,1500,1000,0.1342678070068359,0.1558060646057129,0.000000000000000
500,1500,1000,0.1468439102172852,0.1584119796752930,0.000000000000000
